territorio,geocode,estado,ano,classe,valor_pixel,area_ha
"Figueirópolis D'Oeste",5103809,MT,1994,"Agricultura",18,9.5660
"Figueirópolis D'Oeste",5103809,MT,1994,"Rio, Lago e Oceano",33,326.8718
"Figueirópolis D'Oeste",5103809,MT,1994,"Outras Áreas não Vegetadas",25,32.8330
"Figueirópolis D'Oeste",5103809,MT,1994,"Campo Alagado e Área Pantanosa",11,350.8113
"Figueirópolis D'Oeste",5103809,MT,1994,"Floresta Alagável",6,2147.9340
"Figueirópolis D'Oeste",5103809,MT,1994,"Afloramento Rochoso",29,481.0613
"Figueirópolis D'Oeste",5103809,MT,1994,"Pastagem",15,63184.9919
"Figueirópolis D'Oeste",5103809,MT,1994,"Área Urbanizada",24,78.2009
"Figueirópolis D'Oeste",5103809,MT,1994,"Formação Savânica",4,777.4233
"Figueirópolis D'Oeste",5103809,MT,1994,"Floresta",1,23536.8878
"Figueirópolis D'Oeste",5103809,MT,1994,"Vegetação Herbácea e Arbustiva",10,1974.5823
"Figueirópolis D'Oeste",5103809,MT,1994,"Agropecuária",14,63194.5579
"Figueirópolis D'Oeste",5103809,MT,1994,"Área não Vegetada",22,111.0340
"Figueirópolis D'Oeste",5103809,MT,1994,"Corpo D'Água",26,326.8718
"Figueirópolis D'Oeste",5103809,MT,1995,"Outras Lavouras Temporárias",41,9.1349
"Figueirópolis D'Oeste",5103809,MT,1995,"Lavoura Temporária",19,9.1349
"Figueirópolis D'Oeste",5103809,MT,1995,"Formação Campestre",12,1058.5327
"Figueirópolis D'Oeste",5103809,MT,1995,"Formação Florestal",3,18093.3261
"Figueirópolis D'Oeste",5103809,MT,1995,"Agricultura",18,9.1349
"Figueirópolis D'Oeste",5103809,MT,1995,"Rio, Lago e Oceano",33,328.3911
"Figueirópolis D'Oeste",5103809,MT,1995,"Outras Áreas não Vegetadas",25,26.2934
"Figueirópolis D'Oeste",5103809,MT,1995,"Campo Alagado e Área Pantanosa",11,323.9766
"Figueirópolis D'Oeste",5103809,MT,1995,"Floresta Alagável",6,2001.1000
"Figueirópolis D'Oeste",5103809,MT,1995,"Afloramento Rochoso",29,480.8021
"Figueirópolis D'Oeste",5103809,MT,1995,"Pastagem",15,66028.8586
"Figueirópolis D'Oeste",5103809,MT,1995,"Área Urbanizada",24,85.1773
"Figueirópolis D'Oeste",5103809,MT,1995,"Formação Savânica",4,708.3410
"Figueirópolis D'Oeste",5103809,MT,1995,"Floresta",1,20802.7672
"Figueirópolis D'Oeste",5103809,MT,1995,"Vegetação Herbácea e Arbustiva",10,1863.3113
"Figueirópolis D'Oeste",5103809,MT,1995,"Agropecuária",14,66037.9935
"Figueirópolis D'Oeste",5103809,MT,1995,"Área não Vegetada",22,111.4707
"Figueirópolis D'Oeste",5103809,MT,1995,"Corpo D'Água",26,328.3911
"Figueirópolis D'Oeste",5103809,MT,1996,"Outras Lavouras Temporárias",41,9.0489
"Figueirópolis D'Oeste",5103809,MT,1996,"Lavoura Temporária",19,9.0489
"Figueirópolis D'Oeste",5103809,MT,1996,"Formação Campestre",12,1034.9371
