territorio,geocode,estado,ano,variavel,chave,unidade,valor
Lambari D'Oeste,5105234,MT,1995,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.596060
Lambari D'Oeste,5105234,MT,1996,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.442368
Lambari D'Oeste,5105234,MT,1997,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.921398
Lambari D'Oeste,5105234,MT,1998,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.908262
Lambari D'Oeste,5105234,MT,1999,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.583427
Lambari D'Oeste,5105234,MT,2000,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.458889
Lambari D'Oeste,5105234,MT,2001,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,26.029409
Lambari D'Oeste,5105234,MT,2002,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,26.540713
Lambari D'Oeste,5105234,MT,2003,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.739768
Lambari D'Oeste,5105234,MT,2004,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.896669
Lambari D'Oeste,5105234,MT,2005,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.957638
Lambari D'Oeste,5105234,MT,2006,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.734010
Lambari D'Oeste,5105234,MT,2007,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,26.088687
Lambari D'Oeste,5105234,MT,2008,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.828120
Lambari D'Oeste,5105234,MT,2009,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,26.072377
Lambari D'Oeste,5105234,MT,2010,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,26.262680
Lambari D'Oeste,5105234,MT,2011,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,26.043488
Lambari D'Oeste,5105234,MT,2012,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.963820
Lambari D'Oeste,5105234,MT,2013,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.727788
Lambari D'Oeste,5105234,MT,2014,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.792827
Lambari D'Oeste,5105234,MT,2015,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,26.631045
Lambari D'Oeste,5105234,MT,2016,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.923425
Lambari D'Oeste,5105234,MT,2017,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,26.246992
Lambari D'Oeste,5105234,MT,2018,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.811479
Lambari D'Oeste,5105234,MT,2019,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,26.729664
Lambari D'Oeste,5105234,MT,2020,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,27.438426
Lambari D'Oeste,5105234,MT,2021,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,26.656099
Lambari D'Oeste,5105234,MT,2022,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,26.067777
Lambari D'Oeste,5105234,MT,2023,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,27.067033
Lambari D'Oeste,5105234,MT,2024,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,27.404072
Jauru,5105002,MT,1998,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,164.100937
Jauru,5105002,MT,1999,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,155.789802
Jauru,5105002,MT,2000,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,138.147069
Jauru,5105002,MT,2001,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,131.562955
Jauru,5105002,MT,2002,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,138.014221
Jauru,5105002,MT,2003,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,144.251474
Jauru,5105002,MT,2004,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,154.314256
Jauru,5105002,MT,2005,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,147.413805
Jauru,5105002,MT,2006,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,146.645855
Jauru,5105002,MT,2007,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,154.523413
Jauru,5105002,MT,2008,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,165.003469
Jauru,5105002,MT,2009,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,131.490461
Jauru,5105002,MT,2010,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,179.872355
Jauru,5105002,MT,2011,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,167.855012
Jauru,5105002,MT,2012,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,141.774887
Jauru,5105002,MT,2013,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,140.588276
Jauru,5105002,MT,2014,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,134.563649
Jauru,5105002,MT,2015,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,158.632674
Jauru,5105002,MT,2016,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,168.509539
Jauru,5105002,MT,2017,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,150.298647
Jauru,5105002,MT,2018,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,143.585154
Jauru,5105002,MT,2019,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,160.007978
Jauru,5105002,MT,2020,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,195.642733
Jauru,5105002,MT,2021,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,169.569546
